"compartment","TF","logFC","P.Value","adj.P.Val","fdr_global"
"NK","NFE2",0.298339565417114,0.242544717677768,0.434277409157174,0.37383039054922
"NK","KAT6B",0.493370078829759,0.248158519518385,0.434277409157174,0.379005738900806
"B_cell","IRF3",-0.64078629506907,0.255829142327808,0.594387044700141,0.386310014462965
"T_cell","CEBPE",0.179565519302568,0.257540009641977,0.257540009641977,0.386310014462965
"B_cell","EHF",-0.428375467017735,0.265351359241134,0.594387044700141,0.394504675685934
"NK","MAF",0.462954759551341,0.268812400638387,0.435952691619018,0.394612350172387
"NK","CEBPA",0.380164700235676,0.270654876664392,0.435952691619018,0.394612350172387
"NK","EP300",0.496313644113312,0.272470432261886,0.435952691619018,0.394612350172387
"B_cell","ESR1",0.949880573067705,0.303467473365915,0.6199465081732,0.432251837561151
"B_cell","TLX2",0.401470857242249,0.303605457334618,0.6199465081732,0.432251837561151
"B_cell","SMARCA1",-0.481672669465871,0.3099732540866,0.6199465081732,0.437609299886965
"B_cell","NFE2",0.353436498496826,0.32289105504881,0.623513761473564,0.452047477068334
"B_cell","STOX1",0.356387349884378,0.340443547582986,0.635494622154907,0.472681950363154
"NK","SP3",0.388482930993063,0.349198918695775,0.543198317971206,0.480864084761395
"B_cell","PRDM2",0.345836193945732,0.363383105020214,0.656433996165547,0.496328143442243
"NK","CTBP1",-0.247715797620309,0.377203370198938,0.56032439515693,0.51101584838312
"NK","NR1H4",0.260674491328617,0.38022012528506,0.56032439515693,0.51101584838312
"NK","BACH1",0.265257338555172,0.39785092569787,0.571273124078993,0.530467900930493
"B_cell","MEIS2",0.268199132660495,0.401444452587025,0.702527792027293,0.531044630193859
"NK","ELF4",-0.250327225574523,0.419405433887207,0.58716760744209,0.550469631976959
"NK","NFIA",0.220340520145448,0.48989673838051,0.666943478012282,0.634070843082188
"B_cell","E2F3",0.37647569589228,0.490650057146931,0.832618278794792,0.634070843082188
"NK","MEIS2",0.180895979245716,0.500207608509212,0.666943478012282,0.641487620072882
"NK","KLF3",0.197301379493646,0.512887583872398,0.667946620857077,0.652766015837598
"NK","PRDM2",0.283140414380559,0.551258143564431,0.690569322910793,0.695722825320575
"NK","BACH2",0.27141047954476,0.55492177733903,0.690569322910793,0.695722825320575
