"source","target","ligand.complex","receptor.complex","aggregate_rank","mean_rank","natmi.edge_specificity","natmi.rank","connectome.weight_sc","connectome.rank","logfc.logfc_comb","logfc.rank","sca.LRscore","sca.rank"
"Myeloid","NK","IL1B","ADRB2",0.00186497068642971,486.75,0.40126155551106,165,1.03373826996765,172,1.62296204071625,69,0.819600808495021,1541
"NK","Myeloid","B2M","LILRB2",0.00186497068642971,222.5,0.236119303587193,554,1.13766828698901,126,1.29335827910323,172,0.927745091211895,38
"T_cell","Myeloid","CALR","LRP1",0.00188070670332084,302.25,0.240789280781098,512,1.05798336160766,162,1.11732168148053,272,0.90968055011014,263
"Myeloid","Myeloid","ICAM1","ITGAX_ITGB2",0.00189544282647764,253.75,0.240788010274019,513,1.11162325905176,134,1.43321785499058,110,0.910108231116154,258
"NK","Myeloid","HLA-B","LILRB2",0.001897263621468,234.5,0.235510484408569,563,1.10042834528046,142,1.29289663945202,173,0.924556601805891,60
"NK","Myeloid","HLA-B","LILRA1",0.00192517469587407,455.25,0.240584308131409,515,0.815904679516331,386,0.879602830721113,493,0.897988504945981,427
"T_cell","Myeloid","HLA-B","LILRB2",0.00192992216555339,221.75,0.237092919845461,547,1.1787508690841,110,1.29181408862227,174,0.924789823088426,56
"T_cell","Myeloid","CSF1","CSF2RA",0.00196294826060152,686.5,0.448830508641375,128,1.03111042843337,175,1.32291257966571,151,0.768871695516231,2292
"NK","Myeloid","HMGB1","TLR2",0.00198568639387789,405,0.240364747981414,519,0.907275944486317,289,1.04884282723298,327,0.89509619316502,485
"Myeloid","Myeloid","ADM","CALCRL",0.0019963438465575,837.5,0.771852681631636,52,1.02852523514797,176,1.2954471377792,171,0.703693220342794,2951
"NK","Myeloid","HLA-C","LILRB2",0.0019963438465575,234.75,0.235968461259643,556,1.11051300821814,136,1.29140349972828,176,0.923606844307504,71
"Myeloid","Myeloid","HLA-C","LILRA3",0.00200103462314406,442.75,0.240214748725904,520,0.72419591826121,461,0.937149081331114,434,0.902823450136809,356
"T_cell","B_cell","CCL5","SDC1",0.00201647165577666,219.75,0.423309187580775,142,1.53337306906279,37,1.28754168358319,179,0.892314914268767,521
"Myeloid","Myeloid","HLA-B","LILRA1",0.00204761349931636,460.5,0.23987027259147,523,0.78130887373788,414,0.902818289653756,474,0.897852283786885,431
"T_cell","Myeloid","CIRBP","TREM1",0.00206331899595319,360.25,0.245696641731545,488,0.963110141484716,234,1.25299967879807,195,0.892224479807044,524
"Myeloid","Myeloid","APP","APLP2",0.00209876691976654,322.25,0.39064900232698,179,1.07350750207831,156,1.41958423435142,115,0.86550043140161,839
"Myeloid","Myeloid","CD14","RIPK1",0.00213365982939546,464.5,0.390367736775438,180,1.1441774268815,122,1.56724066273448,80,0.823260188691205,1476
"Myeloid","Myeloid","HLA-DPB1","CD4",0.0021922382841208,371.75,0.23904271751644,532,0.798151159076283,402,0.978464685617521,404,0.918470315318482,149
"Myeloid","Myeloid","HLA-F","LILRB2",0.00220458506000401,267.5,0.237309910531153,544,1.05474919481785,163,1.28421032310694,181,0.915878456943845,182
