"cell","compartment_call"
"E4_P2_M55_L001","T_cell"
"E4_P3_M55_L001","T_cell"
"E4_P4_M55_L001","T_cell"
"E5_P1_M55_L001","T_cell"
"E5_P2_M55_L001","T_cell"
"E5_P3_M55_L001","T_cell"
"E5_P4_M55_L001","T_cell"
"E6_P1_M55_L001","B_cell"
"E6_P2_M55_L001","T_cell"
"E6_P3_M55_L001","T_cell"
"E6_P4_M55_L001","T_cell"
"E7_P1_M55_L001","T_cell"
"E7_P2_M55_L001","T_cell"
"E7_P3_M55_L001","T_cell"
"E8_P1_M55_L001","T_cell"
"E8_P2_M55_L001","T_cell"
"E8_P3_M55_L001","NK"
"E8_P4_M55_L001","B_cell"
"E9_P1_M55_L001","T_cell"
"E9_P3_M55_L001","T_cell"
"E9_P4_M55_L001","T_cell"
"F10_P1_M55_L001","T_cell"
"F10_P2_M55_L001","T_cell"
"F10_P4_M55_L001","T_cell"
"F11_P1_M55_L001","NK"
"F11_P2_M55_L001","T_cell"
"F12_P1_M55_L001","T_cell"
"F12_P2_M55_L001","T_cell"
"F12_P3_M55_L001","T_cell"
"F12_P4_M55_L001","T_cell"
"F1_P2_M55_L001","B_cell"
"F1_P3_M55_L001","T_cell"
"F1_P4_M55_L001","T_cell"
"F2_P2_M55_L001","T_cell"
"F2_P3_M55_L001","T_cell"
"F2_P4_M55_L001","T_cell"
"F3_P1_M55_L001","T_cell"
"F3_P2_M55_L001","T_cell"
"F3_P3_M55_L001","T_cell"
"F3_P4_M55_L001","B_cell"
"F4_P1_M55_L001","T_cell"
"F4_P2_M55_L001","B_cell"
"F4_P3_M55_L001","T_cell"
"F4_P4_M55_L001","T_cell"
"F5_P1_M55_L001","T_cell"
"F5_P2_M55_L001","T_cell"
"F5_P4_M55_L001","B_cell"
"F6_P1_M55_L001","T_cell"
"F6_P2_M55_L001","B_cell"
"F6_P3_M55_L001","T_cell"
"F7_P1_M55_L001","T_cell"
"F7_P2_M55_L001","T_cell"
"F7_P3_M55_L001","B_cell"
"F8_P1_M55_L001","T_cell"
"F8_P2_M55_L001","T_cell"
"F8_P3_M55_L001","T_cell"
"F8_P4_M55_L001","T_cell"
"F9_P1_M55_L001","T_cell"
"F9_P2_M55_L001","T_cell"
"F9_P3_M55_L001","T_cell"
"F9_P4_M55_L001","NK"
"G10_P1_M55_L001","T_cell"
"G10_P2_M55_L001","T_cell"
"G10_P3_M55_L001","T_cell"
"G10_P4_M55_L001","T_cell"
"G11_P1_M55_L001","T_cell"
"G11_P2_M55_L001","NK"
"G11_P3_M55_L001","T_cell"
"G11_P4_M55_L001","B_cell"
"G12_P1_M55_L001","T_cell"
"G12_P2_M55_L001","T_cell"
"G12_P3_M55_L001","T_cell"
"G12_P4_M55_L001","T_cell"
"G1_P1_M55_L001","T_cell"
"G1_P2_M55_L001","T_cell"
"G1_P3_M55_L001","T_cell"
"G1_P4_M55_L001","T_cell"
"G2_P1_M55_L001","T_cell"
"G2_P2_M55_L001","T_cell"
"G2_P3_M55_L001","T_cell"
"G2_P4_M55_L001","T_cell"
"G3_P1_M55_L001","T_cell"
"G3_P2_M55_L001","T_cell"
"G3_P3_M55_L001","T_cell"
"G3_P4_M55_L001","T_cell"
"G4_P1_M55_L001","NK"
"G4_P2_M55_L001","T_cell"
"G4_P3_M55_L001","T_cell"
"G4_P4_M55_L001","NK"
"G5_P1_M55_L001","B_cell"
"G5_P2_M55_L001","T_cell"
"G5_P3_M55_L001","T_cell"
"G5_P4_M55_L001","T_cell"
"G6_P1_M55_L001","T_cell"
"G6_P2_M55_L001","T_cell"
"G6_P3_M55_L001","T_cell"
"G6_P4_M55_L001","T_cell"
"G7_P1_M55_L001","T_cell"
"G7_P2_M55_L001","T_cell"
"G7_P3_M55_L001","T_cell"
"G8_P1_M55_L001","T_cell"
"G8_P2_M55_L001","T_cell"
"G8_P3_M55_L001","T_cell"
"G8_P4_M55_L001","T_cell"
"G9_P1_M55_L001","T_cell"
