"TF","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"TBX15",0.335300010941393,4.12357271934137,2.36144701410573,0.0287970525489916,0.121301550960557,-3.72676007555568
"NPM1",-0.407944027305515,6.27257950220092,-2.35398214811529,0.0292470933841083,0.122512824508987,-3.74038047047321
"HLF",0.330587799928679,2.15786033017372,2.35130580280681,0.029410026907644,0.122514697725766,-3.74525814499979
"STAT2",1.09789526631912,6.29445864639254,2.32513471968488,0.0310482243026389,0.128628357825218,-3.79279844185253
"KMT2B",0.385324230259047,3.09469619477437,2.3199262480587,0.0313841649905965,0.128637795678525,-3.80222547767136
"HNF1A",0.457689715486286,0.637191167901667,2.31980975861327,0.0313917167173059,0.128637795678525,-3.80243618582694
"HOXC8",0.531866116309186,0.786892866491234,2.30340346658504,0.0324722310160315,0.132346282086961,-3.8320545706316
"MLX",-0.506299307250043,1.63586450128249,-2.2933711822474,0.033149769787145,0.134381324836061,-3.85010916942224
"TSHZ3",-0.15800297254095,-2.41470117176248,-2.2874046074429,0.0335588879303643,0.134650273962955,-3.86082632173296
"GTF3A",0.638950669833162,4.25834591684781,2.28719596832733,0.0335732778581373,0.134650273962955,-3.86120079989831
"HDAC3",0.734603262769782,-0.0052666223977527,2.28440135460096,0.0337665727149723,0.134708972630101,-3.86621492028399
"RELA",1.7567215175641,21.8282403070274,2.28085261998467,0.0340135060313657,0.134979913408683,-3.872577195548
"EBF1",-0.946070764445377,0.44734371035999,-2.26429674047052,0.0351876545515567,0.138908332627611,-3.90218625703941
"ATF4",1.03345789924602,8.24145673785464,2.25535540337393,0.0358371781073283,0.140461307051252,-3.9181269982448
"RXRA",0.48414901273248,2.35810690958107,2.24896846683218,0.0363078715544794,0.140461307051252,-3.92949197564994
"NR4A1",-0.504660640224379,3.7821712531132,-2.24645575001123,0.0364946012278328,0.140461307051252,-3.93395814008072
"NCOA1",0.850211911028058,4.25021719442616,2.24601467713949,0.0365274699170192,0.140461307051252,-3.93474182250375
"SMAD6",-0.338458408958428,-1.57694993626665,-2.24411327651748,0.0366694734736209,0.140461307051252,-3.93811916570592
"GLIS3",0.341068638625892,0.015661763824694,2.24372175618662,0.0366987765107383,0.140461307051252,-3.93881439854534
"NFKB1",1.67109997869803,21.3024788512782,2.24089621747174,0.0369108900792974,0.140559652120153,-3.94382974233276
"PHF5A",-0.61570733774095,1.3218683649395,-2.23805257177732,0.0371254986727165,0.14066646230768,-3.94887360476613
"SALL3",0.349920300500835,1.79599748476326,2.23236788372766,0.0375579557078277,0.141593493018511,-3.95894579113288
"TOX3",-0.551127051967129,3.1138633209953,-2.22893363532968,0.0378214467411999,0.141877466879924,-3.96502355109632
"MAFG",0.446024796967449,3.08467303909679,2.21020329033024,0.0392885817415846,0.146651438777994,-3.99807713758541
"TFAP2B",0.484414425347505,1.08859934876853,2.20465582151631,0.0397330070814054,0.147579740588077,-4.00783595542801
"POU2F3",-0.359890060955923,4.16344088667388,-2.19908552948271,0.0401838835154573,0.148335874914786,-4.01762063696337
"NKRF",0.43858603738457,1.2867239216285,2.19456085304216,0.0405535623184723,0.148335874914786,-4.02555803123093
"MYT1",-0.275982497036184,1.41228992604087,-2.19201891302315,0.0407626068971754,0.148335874914786,-4.03001304659975
"NKX6-1",-0.287081586978908,-1.216056022454,-2.19192335820886,0.040770484319399,0.148335874914786,-4.03018045775604
"NR2F1",-0.348572498248301,4.77069918951206,-2.18749038110737,0.0411374658623293,0.148335874914786,-4.03794231437351
"CEBPG",1.21354848571816,8.77972363663005,2.1869720252382,0.0411805740887936,0.148335874914786,-4.0388493231562
"DDIT3",1.02621449705102,10.0794329840494,2.18537430890307,0.0413137052149934,0.148335874914786,-4.04164418527948
"FOXO4",0.552002142383871,4.28669126093465,2.18032866732566,0.0417367215775422,0.149144493220222,-4.05046260612604
"MAFB",0.416691598530095,0.914631635034868,2.16229146593453,0.0432814334206188,0.153931384097889,-4.08188872549398
"MTA1",0.58091913891822,5.06459198610498,2.15732812378475,0.0437155401232994,0.153931384097889,-4.09050926727241
"HMGA2",0.414177328043822,4.7685793540891,2.15625329386747,0.043810068124031,0.153931384097889,-4.09237452986235
"ID1",0.468217243157094,5.61116234818849,2.15531317385935,0.0438929013011223,0.153931384097889,-4.09400556416423
"KLF5",0.43936351414008,6.46570080165051,2.14918626847834,0.0444362381728119,0.155115386955093,-4.10462490345676
"ETS2",0.787478817547068,7.93387723756925,2.14221220895955,0.0450621409553352,0.155500160170438,-4.11669062320171
